         47986 function calls (47854 primitive calls) in 2.871 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    2.871    2.871 <string>:1(<module>)
      232    0.001    0.000    0.001    0.000 <string>:8(__new__)
       39    0.001    0.000    0.001    0.000 Queue.py:107(put)
       29    0.000    0.000    0.001    0.000 Queue.py:150(get)
        1    0.000    0.000    0.000    0.000 Queue.py:234(_init)
       68    0.000    0.000    0.000    0.000 Queue.py:237(_qsize)
       39    0.000    0.000    0.000    0.000 Queue.py:240(_put)
       29    0.000    0.000    0.000    0.000 Queue.py:243(_get)
        1    0.000    0.000    0.000    0.000 Queue.py:26(__init__)
       58    0.000    0.000    0.000    0.000 UserDict.py:18(__getitem__)
       29    0.000    0.000    0.000    0.000 UserDict.py:40(items)
      174    0.000    0.000    0.001    0.000 UserDict.py:58(get)
      232    0.000    0.000    0.000    0.000 UserDict.py:70(__contains__)
       58    0.000    0.000    0.001    0.000 __init__.py:1130(debug)
        1    0.000    0.000    0.000    0.000 __init__.py:1142(info)
       59    0.000    0.000    0.000    0.000 __init__.py:1331(getEffectiveLevel)
       59    0.000    0.000    0.000    0.000 __init__.py:1345(isEnabledFor)
        1    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
        1    0.000    0.000    0.005    0.005 __init__.py:71(search_function)
        1    0.000    0.000    0.000    0.000 _abcoll.py:128(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _abcoll.py:24(_hasattr)
        3    0.000    0.000    0.000    0.000 _abcoll.py:26(<genexpr>)
       58    0.000    0.000    0.002    0.000 _abcoll.py:360(get)
       29    0.001    0.000    0.001    0.000 _abcoll.py:367(__contains__)
      116    0.000    0.000    0.001    0.000 _abcoll.py:384(iteritems)
       58    0.001    0.000    0.002    0.000 _abcoll.py:393(items)
      148    0.003    0.000    0.008    0.000 _abcoll.py:526(update)
       21    0.000    0.000    0.000    0.000 _abcoll.py:98(__subclasshook__)
        2    0.000    0.000    0.000    0.000 _collections.py:38(__init__)
       29    0.001    0.000    0.002    0.000 _collections.py:45(__getitem__)
        1    0.000    0.000    0.000    0.000 _collections.py:52(__setitem__)
       21    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
       21    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       21    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        4    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
       21    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       30    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
      714    0.001    0.000    0.001    0.000 _weakrefset.py:70(__contains__)
       22    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
      554    0.003    0.000    0.005    0.000 abc.py:128(__instancecheck__)
     23/9    0.000    0.000    0.001    0.000 abc.py:148(__subclasscheck__)
        2    0.000    0.000    0.000    0.000 adapters.py:104(init_poolmanager)
       29    0.000    0.000    0.000    0.000 adapters.py:121(cert_verify)
       29    0.001    0.000    0.020    0.001 adapters.py:158(build_response)
       29    0.000    0.000    0.006    0.000 adapters.py:194(get_connection)
       29    0.000    0.000    0.001    0.000 adapters.py:234(request_url)
       29    0.000    0.000    0.000    0.000 adapters.py:258(add_headers)
       29    0.001    0.000    2.800    0.097 adapters.py:294(send)
        2    0.000    0.000    0.000    0.000 adapters.py:38(__init__)
        2    0.000    0.000    0.000    0.000 adapters.py:73(__init__)
       87    0.001    0.000    0.001    0.000 cgi.py:291(_parseparam)
       29    0.000    0.000    0.001    0.000 cgi.py:303(parse_header)
        1    0.000    0.000    0.000    0.000 codecs.py:77(__new__)
       29    0.000    0.000    0.001    0.000 collections.py:132(pop)
        2    0.000    0.000    0.000    0.000 collections.py:38(__init__)
       29    0.000    0.000    0.000    0.000 collections.py:54(__setitem__)
       28    0.000    0.000    0.000    0.000 collections.py:64(__delitem__)
        1    0.000    0.000    0.000    0.000 connectionpool.py:154(__init__)
        1    0.000    0.000    0.000    0.000 connectionpool.py:223(__init__)
        1    0.000    0.000    0.000    0.000 connectionpool.py:252(_new_conn)
       29    0.001    0.000    0.003    0.000 connectionpool.py:268(_get_conn)
       29    0.000    0.000    0.001    0.000 connectionpool.py:301(_put_conn)
       29    0.000    0.000    0.001    0.000 connectionpool.py:330(_get_timeout)
       29    0.002    0.000    2.735    0.094 connectionpool.py:342(_make_request)
       29    0.001    0.000    2.743    0.095 connectionpool.py:451(urlopen)
      146    0.001    0.000    0.001    0.000 cookielib.py:1175(vals_sorted_by_key)
      146    0.000    0.000    0.002    0.000 cookielib.py:1180(deepvalues)
       88    0.001    0.000    0.003    0.000 cookielib.py:1217(__init__)
       29    0.000    0.000    0.000    0.000 cookielib.py:1246(_cookies_for_request)
       29    0.000    0.000    0.000    0.000 cookielib.py:1253(_cookie_attrs)
       29    0.001    0.000    0.003    0.000 cookielib.py:1312(add_cookie_header)
       58    0.001    0.000    0.008    0.000 cookielib.py:1555(make_cookies)
       58    0.001    0.000    0.011    0.000 cookielib.py:1635(extract_cookies)
       29    0.000    0.000    0.001    0.000 cookielib.py:1691(clear_expired_cookies)
      146    0.000    0.000    0.000    0.000 cookielib.py:1710(__iter__)
       87    0.000    0.000    0.000    0.000 cookielib.py:43(_debug)
       88    0.000    0.000    0.000    0.000 cookielib.py:848(__init__)
       58    0.000    0.000    0.000    0.000 cookies.py:100(__init__)
      116    0.000    0.000    0.000    0.000 cookies.py:107(info)
       58    0.001    0.000    0.014    0.000 cookies.py:114(extract_cookies_to_jar)
       29    0.000    0.000    0.005    0.000 cookies.py:131(get_cookie_header)
       58    0.000    0.000    0.001    0.000 cookies.py:294(update)
       87    0.001    0.000    0.004    0.000 cookies.py:33(__init__)
       59    0.001    0.000    0.004    0.000 cookies.py:415(cookiejar_from_dict)
       58    0.000    0.000    0.002    0.000 cookies.py:435(merge_cookies)
       29    0.000    0.000    0.000    0.000 cookies.py:77(get_new_headers)
       58    0.001    0.000    0.002    0.000 genericpath.py:15(exists)
       59    0.000    0.000    0.000    0.000 hooks.py:20(default_hooks)
       29    0.000    0.000    0.000    0.000 hooks.py:29(dispatch_hook)
       29    0.001    0.000    2.693    0.093 httplib.py:1009(getresponse)
      580    0.002    0.000    0.002    0.000 httplib.py:220(addheader)
       29    0.009    0.000    0.033    0.001 httplib.py:234(readheaders)
